# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Mon, 13 Apr 2026 03:01:08 +0200
#
# IP	number of (black)lists
#
66.132.186.200	5
66.132.186.201	5
66.132.186.205	5
66.132.186.206	5
66.132.195.33	5
66.132.195.34	5
66.132.195.35	5
66.132.195.36	5
66.132.195.37	5
66.132.195.38	5
66.132.195.42	5
66.132.195.43	5
66.132.195.44	5
66.132.195.45	5
66.132.195.47	5
66.132.195.49	5
66.132.195.54	5
66.132.195.57	5
66.132.195.60	5
66.132.195.61	5
66.132.195.62	5
66.132.195.63	5
66.132.195.64	5
66.132.195.66	5
66.132.195.67	5
66.132.195.68	5
66.132.195.69	5
66.132.195.70	5
66.132.195.73	5
66.132.195.74	5
66.132.195.75	5
66.132.195.76	5
66.132.195.78	5
66.132.195.80	5
66.132.195.81	5
66.132.195.82	5
66.132.195.84	5
66.132.195.85	5
66.132.195.88	5
66.132.195.89	5
66.132.195.90	5
66.132.195.91	5
66.132.195.93	5
66.132.195.94	5
66.132.195.96	5
66.132.195.97	5
66.132.195.101	5
66.132.195.109	5
66.132.195.110	5
66.132.195.114	5
66.132.195.120	5
66.132.195.121	5
66.132.195.124	5
66.132.224.81	5
66.132.224.82	5
66.132.224.83	5
66.132.224.89	5
66.132.224.92	5
66.132.224.94	5
66.132.224.225	5
66.132.224.226	5
66.132.224.230	5
66.132.224.233	5
66.132.224.234	5
66.132.224.237	5
66.175.211.192	5
66.228.62.150	5
67.205.178.44	5
68.233.116.124	5
69.164.217.74	5
71.6.134.230	5
71.6.134.231	5
71.6.134.232	5
71.6.134.234	5
72.56.98.30	5
72.253.251.7	5
74.82.47.2	5
74.82.47.3	5
74.249.178.154	5
74.249.178.165	5
75.133.212.224	5
78.42.241.233	5
78.100.64.148	5
78.128.112.74	5
78.128.113.46	5
78.153.150.121	5
79.3.96.178	5
79.104.0.82	5
80.66.66.10	5
80.82.77.33	5
80.94.92.182	5
80.94.92.186	5
80.94.95.216	5
81.29.142.6	5
81.29.142.100	5
81.177.213.181	5
81.192.46.45	5
81.211.72.167	5
82.165.247.100	5
82.208.22.44	5
83.61.21.12	5
83.69.129.110	5
83.168.78.82	5
84.3.57.206	5
85.19.195.12	5
85.175.72.188	5
85.190.240.128	5
85.217.140.1	5
85.217.140.2	5
85.217.140.4	5
85.217.140.5	5
85.217.140.6	5
85.217.140.7	5
85.217.140.9	5
85.217.140.10	5
85.217.140.11	5
85.217.140.12	5
85.217.140.13	5
85.217.140.14	5
85.217.140.15	5
85.217.140.16	5
85.217.140.17	5
85.217.140.18	5
85.217.140.19	5
85.217.140.20	5
85.217.140.22	5
85.217.140.24	5
85.217.140.26	5
85.217.140.28	5
85.217.140.29	5
85.217.140.32	5
85.217.140.33	5
85.217.140.34	5
85.217.140.35	5
85.217.140.38	5
85.217.140.42	5
85.217.140.43	5
85.217.140.44	5
85.217.140.45	5
85.217.140.46	5
85.217.140.47	5
85.217.140.48	5
85.217.140.49	5
85.217.140.50	5
